,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
North American Industry Classification System (NAICS),Retail trade  [44-45],Motor vehicle and parts dealers  [441],Automobile dealers  [4411],New car dealers  [44111],Used car dealers  [44112],Other motor vehicle dealers  [4412],"Automotive parts, accessories and tire stores  [4413]",Furniture and home furnishings stores  [442],Furniture stores  [4421],Home furnishings stores  [4422],Electronics and appliance stores  [443],Building material and garden equipment and supplies dealers  [444],Food and beverage stores  [445],Grocery stores  [4451],Supermarkets and other grocery (except convenience) stores   [44511],Convenience stores  [44512],Specialty food stores  [4452],"Beer, wine and liquor stores  [4453]",Health and personal care stores  [446],Gasoline stations  [447],Clothing and clothing accessories stores  [448],Clothing stores  [4481],Shoe stores  [4482],"Jewellery, luggage and leather goods stores  [4483]","Sporting goods, hobby, book and music stores  [451]",General merchandise stores  [452],Department stores  [4521],Other general merchandise stores  [4529],Miscellaneous store retailers  [453],Cannabis stores  [453993] 6
Sep-92,"15,983,239","3,383,181",..,"2,795,178",..,..,..,"560,431","375,943","184,488","446,680","656,080","4,474,218",..,"3,309,921",..,..,"681,991","1,174,666","1,409,194","1,082,614",..,..,..,"452,138","1,960,442","1,039,934","920,508","383,596",..
Oct-92,"16,125,835","3,359,656",..,"2,771,474",..,..,..,"561,799","373,482","188,317","456,156","663,606","4,559,943",..,"3,375,329",..,..,"694,048","1,208,315","1,424,137","1,089,172",..,..,..,"459,661","1,953,108","1,032,392","920,716","390,283",..
Nov-92,"16,049,478","3,375,148",..,"2,786,179",..,..,..,"559,157","374,580","184,577","448,609","660,033","4,512,373",..,"3,340,826",..,..,"685,521","1,215,690","1,429,355","1,074,773",..,..,..,"450,774","1,934,792","1,017,086","917,706","388,775",..
Dec-92,"16,095,727","3,352,312",..,"2,765,663",..,..,..,"554,474","374,135","180,339","446,210","668,961","4,542,076",..,"3,364,137",..,..,"690,061","1,197,596","1,436,851","1,103,346",..,..,..,"459,951","1,944,530","1,028,762","915,768","389,421",..
Jan-93,"16,408,864","3,452,159",..,"2,849,287",..,..,..,"590,520","399,434","191,086","478,249","673,380","4,625,991",..,"3,418,420",..,..,"699,307","1,242,776","1,431,346","1,133,418",..,..,..,"463,932","1,936,543","1,030,420","906,123","380,551",..
Feb-93,"16,239,039","3,386,061",..,"2,792,932",..,..,..,"575,411","389,786","185,625","462,908","678,904","4,580,967",..,"3,389,612",..,..,"689,091","1,268,117","1,441,856","1,104,258",..,..,..,"457,957","1,898,635","1,005,784","892,851","383,966",..
Mar-93,"16,314,960","3,445,952",..,"2,847,670",..,..,..,"581,828","395,323","186,505","462,768","690,250","4,581,221",..,"3,384,548",..,..,"695,904","1,272,545","1,440,212","1,098,887",..,..,..,"453,061","1,908,969","1,007,399","901,570","379,268",..
Apr-93,"16,577,426","3,580,039",..,"2,961,689",..,..,..,"586,434","397,339","189,095","475,391","684,122","4,593,000",..,"3,396,096",..,..,"693,848","1,278,403","1,425,657","1,140,484",..,..,..,"484,978","1,930,654","1,025,132","905,522","398,265",..
May-93,"16,472,045","3,545,958",..,"2,932,780",..,..,..,"583,985","395,726","188,259","470,703","677,192","4,590,966",..,"3,398,458",..,..,"688,586","1,268,944","1,420,683","1,133,622",..,..,..,"465,302","1,925,472","1,015,260","910,212","389,219",..
Jun-93,"16,351,907","3,466,417",..,"2,864,014",..,..,..,"593,197","402,478","190,719","475,117","674,734","4,581,157",..,"3,393,580",..,..,"685,097","1,276,345","1,425,754","1,111,968",..,..,..,"457,464","1,905,092","995,664","909,428","384,663",..
Jul-93,"16,712,914","3,627,271",..,"3,002,220",..,..,..,"600,555","410,687","189,868","486,884","682,148","4,639,374",..,"3,434,980",..,..,"691,709","1,287,013","1,421,994","1,173,698",..,..,..,"463,561","1,939,349","1,008,541","930,808","391,068",..
